"","","weight_mst_double"
"1938","1241","132.59"
"1938","700","126.24"
"1938","2631","109.625"
"1747","1455","80.985"
"1747","528","111.885"
"1747","1746","96.71"
"1872","563","165.045"
"1871","563","154.46"
"1871","1381","166.725"
"1871","390","151.19"
"81","1701","95.585"
"81","1295","100.09"
"81","1772","119.59"
"1873","2488","163.97"
"232","2155","155.695"
"232","2513","60.815"
"1891","1868","138.445"
"2423","169","168.2"
"2423","387","117.555"
"2423","602","99.675"
"2423","1086","154.285"
"650","1703","26.945"
"650","206","77.985"
"680","1748","122.785"
"680","1461","141.67"
"542","2700","80.325"
"542","2503","85.105"
"542","543","115.875"
"604","1595","148.345"
"604","1102","172.865"
"660","1296","88.155"
"660","1776","96.58"
"660","967","99.18"
"1329","1311","83.59"
"1329","824","89.95"
"2421","2225","153.85"
"2421","2214","127.2"
"1736","2251","177.105"
"1736","1737","112.79"
"2021","1180","201.305"
"2021","2066","251.035"
"550","702","113.55"
"550","1660","106.655"
"1721","1473","211.13"
"1721","1724","147.07"
"1721","394","160.7"
"1700","207","119.95"
"1700","1699","109.745"
"176","2407","100.85"
"536","434","118.16"
"536","1276","110.77"
"74","1236","133.375"
"74","300","120.29"
"288","447","167.225"
"169","603","119.37"
"99","2215","107.56"
"1755","817","127.135"
"1755","2613","101.76"
"646","2601","127.63"
"646","1300","126.37"
"2315","629","100.33"
"2315","206","125.685"
"2322","2499","99.495"
"2307","2395","139.5"
"1390","855","76.11"
"1390","1865","93.47"
"641","452","91.56"
"641","866","102.635"
"641","165","112.25"
"1946","1250","140.06"
"1946","977","145.945"
"2357","1589","142.18"
"2357","2230","222.505"
"1454","433","128.59"
"1729","528","112.155"
"1729","2231","108.5"
"2355","2394","200.58"
"2355","1562","165.055"
"722","2535","124.82"
"722","1917","119.405"
"722","1918","140.655"
"612","181","104.09"
"612","2346","94.56"
"98","608","54.4"
"98","458","66.34"
"1074","597","129.42"
"1074","96","118.32"
"1058","1529","111.855"
"1058","1530","127.975"
"614","1106","159.43"
"151","610","129.945"
"151","609","135.85"
"2341","1808","200.84"
"1056","611","124.84"
"1745","2582","74.34"
"1745","2453","139.315"
"1438","676","76.515"
"1438","541","120.91"
"1469","1760","109.06"
"234","1743","160.215"
"1098","814","110.82"
"1098","1094","151.36"
"1098","2611","135.8"
"1457","1723","76.44"
"1457","1744","77.56"
"289","1548","81.955"
"289","606","124"
"222","1589","132.51"
"222","983","182.85"
"1059","1532","93.695"
"1059","591","105.19"
"1448","1446","163.75"
"1097","447","141.5"
"1097","1100","143.135"
"1097","814","95.045"
"1458","2582","34.795"
"1458","1744","51.565"
"1484","1550","147.265"
"315","338","148.57"
"315","2697","126.365"
"1727","530","156.75"
"1727","2","170.875"
"251","2488","146.78"
"251","309","121.94"
"388","1089","152.34"
"1748","2510","132.345"
"544","687","152.585"
"544","1903","148.02"
"1025","624","181.82"
"1025","1608","96.915"
"1025","2485","164.49"
"1025","475","241.95"
"1856","272","150.02"
"1856","2523","142.795"
"1856","2652","184.315"
"1726","2251","120.31"
"1726","1725","109.035"
"1296","2624","100.885"
"1749","2245","109.57"
"1749","1453","132.485"
"338","818","84.69"
"338","91","178.92"
"1066","595","174.78"
"613","2216","125.675"
"175","396","131.71"
"175","545","124.99"
"535","907","104.225"
"535","2344","84.445"
"1451","1452","160.085"
"1451","409","164.575"
"2700","314","72.33"
"687","1305","93.135"
"687","1233","145.175"
"809","181","78.205"
"809","322","43.465"
"387","1584","138.78"
"387","814","91.635"
"859","1771","104.49"
"1739","676","90.905"
"1808","2529","217.47"
"1808","2243","184.645"
"1838","1337","103.345"
"1838","561","121.51"
"1838","308","141.095"
"1838","1832","100.75"
"738","1336","152.36"
"738","558","113.28"
"695","1920","119.31"
"695","1237","92.01"
"695","1919","92.39"
"685","2249","132.8"
"685","2250","128.82"
"685","1758","115.92"
"682","1455","43.195"
"682","2613","51.545"
"817","2448","215.29"
"817","91","123.045"
"817","684","153.92"
"627","1547","163.635"
"627","2612","194.18"
"339","530","138.97"
"605","1597","103.86"
"605","888","94.725"
"153","123","147.745"
"153","2363","92.27"
"609","2597","88.175"
"609","608","68.295"
"647","2601","83.43"
"647","443","120.975"
"645","1247","83.84"
"645","1677","125.045"
"645","2311","117.955"
"284","886","94.625"
"397","571","122.255"
"397","371","89.775"
"1409","38","298.975"
"1409","3","181.285"
"876","187","133.37"
"876","746","134.985"
"1437","2330","123.12"
"131","1907","144.3"
"2210","1052","154.83"
"2210","1653","167.08"
"2210","1654","161.615"
